longitude,latitude,zone
7.50241918,45.43160898,F
7.8870447,45.11880638,E
7.52329257,45.03454517,E
7.86919927,44.98628102,E
7.62506151,45.33231529,E
7.7252213,45.33279488,E
7.71719961,45.25127899,E
7.53394487,45.07062854,E
7.57015928,45.20008262,E
7.57853704,45.30940721,F
7.33066832,44.92524919,E
7.86790447,45.39134325,E
7.54567243,45.4994291,F
7.96581632,45.24678796,E
7.19849234,44.79230499,F
7.12908516,45.00108393,F
7.4639672,45.07142005,E
7.38239842,45.13920427,F
7.75582201,45.46784892,F
7.68939186,45.35955646,E
6.88368812,45.07237164,F
7.84990248,45.45644258,E
7.05324489,44.94054394,F
7.84564332,45.44928553,E
7.84564332,45.44928553,F
11.52037588,46.08187379,E
11.52037588,46.08187379,F
7.78265511,45.22396157,E
7.61016157,45.24815307,E
7.61845112,45.38143971,F
7.21515502,45.13516257,E
7.65566462,45.22553762,E
7.45053852,45.0262359,E
7.24085653,44.89871585,F
7.53383254,45.14205994,E
7.79425943,45.33544394,E
7.80833346,45.31221415,E
7.81836251,45.39459427,E
7.63075305,45.21911823,E
7.76632833,45.10309541,E
7.31355518,44.90732828,E
7.66751665,45.35081649,E
7.84869672,45.147225,E
7.9534693,45.16644198,E
7.29864772,44.86656606,E
7.35931306,45.09968774,E
7.27350974,45.10708303,E
7.77316006,44.94968716,E
6.86049707,44.94044645,F
6.85824935,45.02808681,F
7.49796536,44.88830917,E
7.8407106,45.38582635,E
7.87766236,45.09503651,F
6.87655108,44.95764886,F
7.99223087,45.40489983,E
7.77124007,45.13698893,E
7.831721,45.54810664,E
7.54421421,45.41330062,F
7.76866207,45.42324307,E
7.88062828,45.38458718,E
7.04641962,45.13525075,F
7.82261044,45.54322012,E
7.68068748,45.0732745,E
7.9749012,45.21520992,E
7.76053919,45.39182464,E
7.22397861,44.82074148,F
7.41730319,45.03709504,E
7.76450377,45.49022243,F
7.75041006,45.5094096,F
7.42974781,45.27057879,F
7.7403033,44.98596444,E
7.02687343,45.04849799,F
7.21722031,45.23272497,F
7.28663072,45.10189314,E
7.44941143,45.15556488,F
